Suseo_h,Suseo_m,Dongchan_h,Dongchan_m,Jiji_h,Jiji_m,Cheonan(Asan)_h,Cheonan(Asan)_m,Osong_h,Osong_m,Daejeon_h,Daejeon_m,Gimcheon(Gumi)_h,Gimcheon(Gumi)_m,Dongdaegu_h,Dongdaegu_m,ShinKyungju_h,ShinKyungju_m,Ulsan(Tongdosa)_h,Ulsan(Tongdosa)_m,Busan_h,Busan_m,Gongju_h,Gongju_m,Iksan_h,Iksan_m,Jeong-eup_h,Jeong-eup_m,Gwangju(Songje)_h,Gwangju(Songje)_m,Naju_h,Naju_m,Mokpo_h,Mokpo_m
5,50,5,50,5,50,5,50,5,35,4,25,6,0,100,100,6,58,0,17,0,17,100,100,100,100,100,100,100,100,100,100,100,100
6,19,6,19,6,19,6,0,6,10,5,35,6,40,100,100,7,12,6,58,0,27,100,100,100,100,100,100,100,100,100,100,100,100
6,50,6,50,7,40,6,35,6,19,5,50,6,50,100,100,7,24,7,12,0,33,100,100,100,100,100,100,100,100,100,100,100,100
7,40,8,56,8,31,6,40,6,35,6,0,7,6,100,100,8,12,7,24,1,52,100,100,100,100,100,100,100,100,100,100,100,100
8,10,9,50,10,5,6,50,6,40,6,10,7,32,100,100,8,23,7,49,6,58,100,100,100,100,100,100,100,100,100,100,100,100
8,31,10,30,11,0,7,6,6,50,6,19,7,40,100,100,9,10,8,5,7,5,100,100,100,100,100,100,100,100,100,100,100,100
8,56,11,36,13,6,7,32,7,6,6,30,7,50,100,100,9,44,8,12,7,12,100,100,100,100,100,100,100,100,100,100,100,100
9,20,13,30,14,25,8,10,7,25,6,30,8,1,100,100,9,59,8,23,7,24,100,100,100,100,100,100,100,100,100,100,100,100
9,50,15,0,15,20,8,26,7,32,6,35,8,1,100,100,10,48,8,54,7,31,100,100,100,100,100,100,100,100,100,100,100,100
10,5,15,20,16,56,8,31,7,40,6,36,8,10,100,100,11,31,9,0,7,43,100,100,100,100,100,100,100,100,100,100,100,100
10,5,15,20,16,56,8,31,7,40,6,36,8,10,100,100,11,31,9,0,7,43,100,100,100,100,100,100,100,100,100,100,100,100
10,30,16,25,17,30,8,40,8,1,6,40,8,40,100,100,11,49,9,38,7,49,100,100,100,100,100,100,100,100,100,100,100,100
11,0,16,40,18,30,9,1,8,1,6,50,9,1,100,100,12,33,9,44,8,5,100,100,100,100,100,100,100,100,100,100,100,100
11,26,17,30,20,20,9,20,8,10,7,6,9,40,100,100,12,49,9,59,8,12,100,100,100,100,100,100,100,100,100,100,100,100
11,36,18,20,20,46,9,56,8,31,7,15,11,17,100,100,13,49,10,48,8,23,100,100,100,100,100,100,100,100,100,100,100,100
13,6,19,0,21,26,10,45,8,40,7,25,11,26,100,100,14,0,11,31,8,32,100,100,100,100,100,100,100,100,100,100,100,100
13,30,19,45,100,100,10,51,8,56,7,32,11,50,100,100,14,43,11,44,8,43,100,100,100,100,100,100,100,100,100,100,100,100
13,52,20,20,100,100,11,26,9,29,7,35,12,50,100,100,14,57,11,49,8,54,100,100,100,100,100,100,100,100,100,100,100,100
14,20,20,46,100,100,11,36,9,35,7,38,12,58,100,100,15,19,12,26,9,0,100,100,100,100,100,100,100,100,100,100,100,100
14,25,21,40,100,100,11,45,9,56,7,40,13,6,100,100,16,18,12,33,9,10,100,100,100,100,100,100,100,100,100,100,100,100
14,25,21,40,100,100,11,45,9,56,7,40,13,6,100,100,16,18,12,33,9,10,100,100,100,100,100,100,100,100,100,100,100,100
15,0,23,26,100,100,11,45,10,5,7,50,13,13,100,100,16,35,12,45,9,14,100,100,100,100,100,100,100,100,100,100,100,100
15,20,100,100,100,100,12,50,10,51,8,1,13,13,100,100,17,18,12,49,9,21,100,100,100,100,100,100,100,100,100,100,100,100
15,44,100,100,100,100,12,58,11,0,8,1,13,30,100,100,17,48,13,49,9,29,100,100,100,100,100,100,100,100,100,100,100,100
16,20,100,100,100,100,13,6,11,11,8,1,14,30,100,100,17,58,14,12,9,38,100,100,100,100,100,100,100,100,100,100,100,100
16,25,100,100,100,100,13,47,11,36,8,10,14,50,100,100,18,43,14,19,9,43,100,100,100,100,100,100,100,100,100,100,100,100
16,40,100,100,100,100,13,52,11,50,8,26,15,0,100,100,19,14,15,14,9,44,100,100,100,100,100,100,100,100,100,100,100,100
16,56,100,100,100,100,14,0,12,50,8,31,16,25,100,100,19,37,15,19,9,59,100,100,100,100,100,100,100,100,100,100,100,100
17,30,100,100,100,100,14,11,13,13,8,35,17,2,100,100,20,20,16,2,10,2,100,100,100,100,100,100,100,100,100,100,100,100
18,20,100,100,100,100,14,20,13,13,8,40,17,10,100,100,20,32,16,18,10,24,100,100,100,100,100,100,100,100,100,100,100,100
