Suseo_h,Suseo_m,Dongchan_h,Dongchan_m,Jiji_h,Jiji_m,Cheonan(Asan)_h,Cheonan(Asan)_m,Osong_h,Osong_m,Daejeon_h,Daejeon_m,Gimcheon(Gumi)_h,Gimcheon(Gumi)_m,Dongdaegu_h,Dongdaegu_m,ShinKyungju_h,ShinKyungju_m,Ulsan(Tongdosa)_h,Ulsan(Tongdosa)_m,Busan_h,Busan_m,Gongju_h,Gongju_m,Iksan_h,Iksan_m,Jeong-eup_h,Jeong-eup_m,Gwangju(Songje)_h,Gwangju(Songje)_m,Naju_h,Naju_m,Mokpo_h,Mokpo_m
5,23,5,23,5,23,5,23,6,8,5,23,5,33,5,23,6,33,100,100,7,29,100,100,100,100,100,100,100,100,100,100,100,100
6,23,6,23,9,38,5,33,6,23,5,33,6,23,5,33,6,53,100,100,7,43,100,100,100,100,100,100,100,100,100,100,100,100
7,43,8,23,12,33,6,8,6,33,6,8,6,33,6,8,7,53,100,100,7,55,100,100,100,100,100,100,100,100,100,100,100,100
8,23,11,9,14,48,6,23,6,53,6,23,7,23,6,23,8,23,100,100,8,14,100,100,100,100,100,100,100,100,100,100,100,100
8,53,14,33,16,23,6,33,7,43,6,33,7,43,6,33,9,3,100,100,8,31,100,100,100,100,100,100,100,100,100,100,100,100
9,38,14,48,16,58,7,43,8,13,6,53,8,13,6,53,10,38,100,100,8,43,100,100,100,100,100,100,100,100,100,100,100,100
10,53,16,58,19,53,7,53,8,23,7,23,8,34,7,23,10,53,100,100,8,54,100,100,100,100,100,100,100,100,100,100,100,100
11,9,17,53,20,53,8,13,9,3,7,43,10,53,7,43,12,33,100,100,9,19,100,100,100,100,100,100,100,100,100,100,100,100
12,33,18,33,100,100,8,34,9,29,7,53,11,23,7,53,12,53,100,100,9,26,100,100,100,100,100,100,100,100,100,100,100,100
13,53,19,53,100,100,8,53,9,38,8,13,12,23,8,13,14,48,100,100,10,4,100,100,100,100,100,100,100,100,100,100,100,100
13,53,19,53,100,100,8,53,9,38,8,13,12,23,8,13,14,48,100,100,10,4,100,100,100,100,100,100,100,100,100,100,100,100
14,33,21,13,100,100,9,29,10,38,8,23,12,33,8,23,15,3,100,100,10,15,100,100,100,100,100,100,100,100,100,100,100,100
14,48,22,53,100,100,10,53,11,9,8,34,14,23,8,34,16,23,100,100,10,30,100,100,100,100,100,100,100,100,100,100,100,100
15,53,100,100,100,100,11,9,11,23,8,44,14,33,8,44,16,58,100,100,11,19,100,100,100,100,100,100,100,100,100,100,100,100
16,23,100,100,100,100,12,23,12,23,8,53,17,53,8,53,17,8,100,100,12,2,100,100,100,100,100,100,100,100,100,100,100,100
16,58,100,100,100,100,12,33,12,53,9,3,18,24,9,3,17,43,100,100,12,9,100,100,100,100,100,100,100,100,100,100,100,100
17,53,100,100,100,100,13,33,13,33,9,29,18,33,9,29,18,9,100,100,12,20,100,100,100,100,100,100,100,100,100,100,100,100
18,33,100,100,100,100,13,53,14,23,9,38,18,53,9,38,18,53,100,100,12,52,100,100,100,100,100,100,100,100,100,100,100,100
19,53,100,100,100,100,14,23,14,48,10,13,19,38,10,13,19,38,100,100,13,4,100,100,100,100,100,100,100,100,100,100,100,100
20,53,100,100,100,100,14,33,15,53,10,38,21,24,10,38,20,28,100,100,13,11,100,100,100,100,100,100,100,100,100,100,100,100
20,53,100,100,100,100,14,33,15,53,10,38,21,24,10,38,20,28,100,100,13,11,100,100,100,100,100,100,100,100,100,100,100,100
21,13,100,100,100,100,16,8,16,23,10,53,22,38,10,53,20,53,100,100,13,20,100,100,100,100,100,100,100,100,100,100,100,100
21,43,100,100,100,100,16,23,17,23,11,9,100,100,11,9,21,3,100,100,14,20,100,100,100,100,100,100,100,100,100,100,100,100
22,53,100,100,100,100,16,58,18,24,11,23,100,100,11,23,21,53,100,100,14,37,100,100,100,100,100,100,100,100,100,100,100,100
23,23,100,100,100,100,17,8,18,33,12,23,100,100,12,23,22,53,100,100,14,44,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,17,23,18,53,12,33,100,100,12,33,100,100,100,100,15,38,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,17,43,19,23,12,53,100,100,12,53,100,100,100,100,15,49,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,18,24,20,53,13,33,100,100,13,33,100,100,100,100,16,28,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,19,53,21,24,13,53,100,100,13,53,100,100,100,100,16,49,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,20,28,22,53,14,23,100,100,14,23,100,100,100,100,17,11,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,20,28,22,53,14,23,100,100,14,23,100,100,100,100,17,11,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,21,3,100,100,14,33,100,100,14,33,100,100,100,100,17,19,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,21,13,100,100,14,48,100,100,14,48,100,100,100,100,17,53,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,22,38,100,100,15,3,100,100,15,3,100,100,100,100,18,2,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,23,13,100,100,15,47,100,100,15,47,100,100,100,100,18,40,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,15,53,100,100,15,53,100,100,100,100,18,50,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,16,8,100,100,16,8,100,100,100,100,19,2,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,16,23,100,100,16,23,100,100,100,100,19,19,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,16,58,100,100,16,58,100,100,100,100,19,29,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,17,8,100,100,17,8,100,100,100,100,19,45,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,17,8,100,100,17,8,100,100,100,100,19,45,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,17,23,100,100,17,23,100,100,100,100,20,7,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,17,43,100,100,17,43,100,100,100,100,20,13,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,17,53,100,100,17,53,100,100,100,100,20,27,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,18,9,100,100,18,9,100,100,100,100,20,37,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,18,24,100,100,18,24,100,100,100,100,20,51,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,18,33,100,100,18,33,100,100,100,100,21,17,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,18,53,100,100,18,53,100,100,100,100,21,25,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,19,23,100,100,19,23,100,100,100,100,21,32,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,19,38,100,100,19,38,100,100,100,100,21,48,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,19,38,100,100,19,38,100,100,100,100,21,48,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,19,53,100,100,19,53,100,100,100,100,22,3,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,20,28,100,100,20,28,100,100,100,100,22,17,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,20,53,100,100,20,53,100,100,100,100,23,6,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,21,3,100,100,21,3,100,100,100,100,23,14,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,21,13,100,100,21,13,100,100,100,100,23,36,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,21,24,100,100,21,24,100,100,100,100,23,49,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,21,43,100,100,21,43,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,21,53,100,100,21,53,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,22,38,100,100,22,38,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,22,38,100,100,22,38,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,22,53,100,100,22,53,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,23,13,100,100,23,13,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,23,23,100,100,23,23,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
