Suseo_h,Suseo_m,Dongchan_h,Dongchan_m,Jiji_h,Jiji_m,Cheonan(Asan)_h,Cheonan(Asan)_m,Osong_h,Osong_m,Daejeon_h,Daejeon_m,Gimcheon(Gumi)_h,Gimcheon(Gumi)_m,Dongdaegu_h,Dongdaegu_m,ShinKyungju_h,ShinKyungju_m,Ulsan(Tongdosa)_h,Ulsan(Tongdosa)_m,Busan_h,Busan_m,Gongju_h,Gongju_m,Iksan_h,Iksan_m,Jeong-eup_h,Jeong-eup_m,Gwangju(Songje)_h,Gwangju(Songje)_m,Naju_h,Naju_m,Mokpo_h,Mokpo_m
14,10,22,30,100,100,13,10,11,0,7,48,16,20,7,48,16,0,10,30,100,100,100,100,100,100,100,100,100,100,100,100,100,100
14,25,100,100,100,100,13,23,12,0,7,50,16,30,7,50,16,20,10,45,100,100,100,100,100,100,100,100,100,100,100,100,100,100
15,0,100,100,100,100,13,30,12,30,8,0,17,30,8,0,16,35,11,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100
15,30,100,100,100,100,14,0,12,45,8,10,18,0,8,10,16,45,12,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100
15,40,100,100,100,100,14,10,13,10,8,17,18,10,8,17,17,20,12,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100
15,55,100,100,100,100,15,35,13,23,8,20,18,30,8,20,17,40,12,30,100,100,100,100,100,100,100,100,100,100,100,100,100,100
16,0,100,100,100,100,15,40,13,40,8,30,19,15,8,30,17,45,13,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100
16,35,100,100,100,100,15,45,14,0,8,40,20,20,8,40,18,30,13,30,100,100,100,100,100,100,100,100,100,100,100,100,100,100
17,30,100,100,100,100,15,55,14,20,8,55,21,0,8,55,18,55,14,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100
17,30,100,100,100,100,15,55,14,20,8,55,21,0,8,55,18,55,14,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100
17,40,100,100,100,100,16,0,14,25,9,0,22,15,9,0,19,15,14,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100
18,10,100,100,100,100,16,30,15,30,9,5,100,100,9,5,19,45,14,25,100,100,100,100,100,100,100,100,100,100,100,100,100,100
18,55,100,100,100,100,16,35,15,35,9,15,100,100,9,15,20,5,14,40,100,100,100,100,100,100,100,100,100,100,100,100,100,100
19,30,100,100,100,100,16,45,16,0,9,15,100,100,9,15,20,30,15,23,100,100,100,100,100,100,100,100,100,100,100,100,100,100
20,0,100,100,100,100,17,0,16,20,9,35,100,100,9,35,20,40,15,30,100,100,100,100,100,100,100,100,100,100,100,100,100,100
20,20,100,100,100,100,17,15,17,0,9,45,100,100,9,45,21,30,15,45,100,100,100,100,100,100,100,100,100,100,100,100,100,100
20,30,100,100,100,100,17,20,17,15,9,50,100,100,9,50,22,25,16,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100
20,50,100,100,100,100,17,40,17,40,9,57,100,100,9,57,22,30,16,35,100,100,100,100,100,100,100,100,100,100,100,100,100,100
21,20,100,100,100,100,18,0,18,0,10,0,100,100,10,0,100,100,16,45,100,100,100,100,100,100,100,100,100,100,100,100,100,100
21,20,100,100,100,100,18,0,18,0,10,0,100,100,10,0,100,100,16,45,100,100,100,100,100,100,100,100,100,100,100,100,100,100
22,0,100,100,100,100,18,40,18,10,10,5,100,100,10,5,100,100,17,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100
22,30,100,100,100,100,19,16,18,25,10,10,100,100,10,10,100,100,17,20,100,100,100,100,100,100,100,100,100,100,100,100,100,100
23,0,100,100,100,100,19,30,18,30,10,15,100,100,10,15,100,100,17,30,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,19,45,18,40,10,30,100,100,10,30,100,100,17,45,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,20,5,18,55,10,30,100,100,10,30,100,100,18,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,20,20,19,0,10,45,100,100,10,45,100,100,18,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,20,40,20,0,10,53,100,100,10,53,100,100,18,30,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,20,50,20,30,11,0,100,100,11,0,100,100,19,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,22,15,20,45,11,30,100,100,11,30,100,100,19,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,22,15,20,45,11,30,100,100,11,30,100,100,19,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,22,25,21,0,11,52,100,100,11,52,100,100,19,30,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,22,50,22,0,12,0,100,100,12,0,100,100,20,5,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,22,25,12,10,100,100,12,10,100,100,20,30,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,22,30,12,30,100,100,12,30,100,100,20,40,100,100,100,100,100,100,100,100,100,100,100,100,100,100
